Player id,Player,Goals,Position,Club,League,Age,Country,Domestic,
297839,Konan YA,0,Midfielder,Hannover 96,Germany,30,Ivory Coast,FALSE,
214887,Konstantinos KATSOURANIS,0,Midfielder,PAOK FC,Greece,35,Greece,TRUE,
323556,Konstantinos MANOLAS,0,Defender,Olympiacos Piraeus FC,Greece,23,Greece,TRUE,
318768,Konstantinos MITROGLOU,0,Forward,Fulham FC,England,26,Greece,FALSE,
294619,Kwadwo ASAMOAH,0,Midfielder,Juventus FC,Italy,25,Ghana,FALSE,
212410,KWAK Taehwi,0,Defender,Al Hilal FC,Saudi Arabia,32,South Korea,FALSE,
175512,Kyle BECKERMAN,0,Midfielder,Real Salt Lake,USA,32,USA,TRUE,
200262,Landry NGUEMO,0,Midfielder,FC Girondins Bordeaux,France,28,Cameroon,FALSE,
290822,Laurent CIMAN,0,Defender,Standard Liege,Belgium,28,Belgium,TRUE,
358012,Laurent KOSCIELNY,0,Defender,Arsenal FC,England,28,France,FALSE,
299086,Lazaros CHRISTODOULOPOULOS,0,Midfielder,Bologna FC,Italy,27,Greece,FALSE,
306818,LEE Bumyoung,0,Goalkeeper,Busan IPark FC,South Korea,25,South Korea,TRUE,
268414,LEE Chungyong,0,Midfielder,Bolton Wanderers FC,England,25,South Korea,FALSE,
363578,LEE Yong,0,Defender,Ulsan Hyundai FC,South Korea,27,South Korea,TRUE,
305768,Leighton BAINES,0,Defender,Everton FC,England,29,England,TRUE,
321641,Leonardo BONUCCI,0,Defender,Juventus FC,Italy,27,Italy,TRUE,
354883,Liassine CADAMURO,0,Defender,RCD Mallorca,Spain,26,Algeria,FALSE,
355859,Loic FEUDJOU,0,Goalkeeper,Coton Sport FC,Cameroon,22,Cameroon,TRUE,
299878,Loic REMY,0,Forward,Newcastle United FC,England,27,France,FALSE,
359235,Lorenzo INSIGNE,0,Forward,SSC Napoli,Italy,23,Italy,TRUE,
215484,Loukas VYNTRA,0,Defender,Levante UD,Spain,33,Greece,FALSE,
200133,Lucas BIGLIA,0,Midfielder,SS Lazio,Italy,28,Argentina,FALSE,
368860,Lucas DIGNE,0,Defender,Paris Saint-Germain FC,France,20,France,TRUE,
270400,Luis GARRIDO,0,Midfielder,CD Olimpia,Honduras,23,Honduras,TRUE,
380009,Luis LOPEZ,0,Goalkeeper,Real Espana,Honduras,20,Honduras,TRUE,
359428,LUIS NETO,0,Defender,FC Zenit St. Petersburg,Russia,26,Portugal,FALSE,
202280,Luis SARITAMA,0,Midfielder,Barcelona SC,Ecuador,30,Ecuador,TRUE,
367918,LUIZ GUSTAVO,0,Midfielder,VfL Wolfsburg,Germany,26,Brazil,FALSE,
241559,Luka MODRIC,0,Midfielder,Real Madrid CF,Spain,28,Croatia,FALSE,
196789,Lukas PODOLSKI,0,Forward,Arsenal FC,England,29,Germany,FALSE,
336450,Luke SHAW,0,Defender,Southampton FC,England,18,England,TRUE,
215208,Madjid BOUGUERRA,0,Defender,Lekhwiya SC,Qatar,31,Algeria,FALSE,
181406,MAICON,0,Defender,AS Roma,Italy,32,Brazil,FALSE,
367393,Majeed WARIS,0,Forward,Valenciennes FC,France,22,Ghana,FALSE,
289027,Makoto HASEBE,0,Midfielder,1. FC Nuernberg,Germany,30,Japan,FALSE,
358885,Maksim KANUNNIKOV,0,Forward,FK Amkar Perm,Russia,22,Russia,TRUE,
274135,Mamadou SAKHO,0,Defender,Liverpool FC,England,24,France,FALSE,
275112,Manabu SAITO,0,Forward,Yokohama F-Marinos,Japan,24,Japan,TRUE,
228912,Manuel NEUER,0,Goalkeeper,FC Bayern Muenchen,Germany,28,Germany,TRUE,
218284,MARCELO,0,Defender,Real Madrid CF,Spain,26,Brazil,FALSE,
380000,Marcelo BROZOVIC,0,Midfielder,GNK Dinamo Zagreb,Croatia,21,Croatia,TRUE,
233530,Marcelo DIAZ,0,Midfielder,FC Basel,Switzerland,27,Chile,FALSE,
319311,Marco FABIAN,0,Midfielder,Cruz Azul FC,Mexico,24,Mexico,TRUE,
378836,Marco PAROLO,0,Midfielder,Parma FC,Italy,29,Italy,TRUE,
359217,Marco VERRATTI,0,Midfielder,Paris Saint-Germain FC,France,21,Italy,FALSE,
306144,Mariano ANDUJAR,0,Goalkeeper,Calcio Catania,Italy,30,Argentina,FALSE,
319470,Mario GAVRANOVIC,0,Forward,FC Zuerich,Switzerland,24,Switzerland,TRUE,
296297,Mario MARTINEZ,0,Midfielder,Real Espana,Honduras,24,Honduras,TRUE,
3408,Mario YEPES,0,Defender,Atalanta Bergamo,Italy,38,Colombia,FALSE,
178299,Mark BRESCIANO,0,Midfielder,Al Gharafa SC,Qatar,34,Australia,FALSE,
197411,Mark MILLIGAN,0,Midfielder,Melbourne Victory FC,Australia,28,Australia,TRUE,
267829,Martin CACERES,0,Defender,Juventus FC,Italy,27,Uruguay,FALSE,
233703,Martin DEMICHELIS,0,Defender,Manchester City FC,England,33,Argentina,FALSE,
175629,Martin SILVA,0,Goalkeeper,CR Vasco da Gama,Brazil,31,Uruguay,FALSE,
227839,Marvin CHAVEZ,0,Midfielder,CD Chivas USA,USA,30,Honduras,FALSE,
233497,Masahiko INOHA,0,Defender,Jubilo Iwata,Japan,28,Japan,TRUE,
268594,Masato MORISHIGE,0,Defender,FC Tokyo,Japan,27,Japan,TRUE,
213170,Masoud SHOJAEI,0,Forward,UD Las Palmas,Spain,30,Iran,FALSE,
339116,Massimo LUONGO,0,Midfielder,Swindon Town FC,England,21,Australia,FALSE,
339987,Mateo KOVACIC,0,Midfielder,FC Internazionale,Italy,20,Croatia,FALSE,
321697,Mathew LECKIE,0,Forward,FSV Frankfurt,Germany,23,Australia,FALSE,
358011,Mathieu DEBUCHY,0,Defender,Newcastle United FC,England,28,France,FALSE,
370523,Mathis BOLLY,0,Midfielder,Fortuna Duesseldorf,Germany,23,Ivory Coast,FALSE,
367433,Matt BESLER,0,Defender,Sporting Kansas City,USA,27,USA,TRUE,
197409,Matt McKAY,0,Midfielder,Brisbane Roar FC,Australia,31,Australia,TRUE,
